Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
705.4,3.52,3.46,523.2,1838.0,22.6,33.9
707.41,3.52,3.46,523.5,1842.0,22.6,33.9
709.42,3.52,3.46,523.4,1842.0,22.6,33.6
711.43,3.52,3.46,523.3,1842.0,22.6,33.9
713.44,3.52,3.46,522.6,1838.0,22.6,34.0
715.45,3.52,3.47,523.1,1842.0,22.6,33.7
717.46,3.52,3.47,523.8,1842.0,22.7,33.7
719.47,3.52,3.47,523.4,1842.0,22.6,33.4
721.48,3.52,3.47,523.3,1844.0,22.6,33.8
723.49,3.52,3.47,523.1,1842.0,22.6,33.8
725.5,3.52,3.47,523.1,1844.0,22.6,33.6
727.51,3.53,3.48,523.7,1844.0,22.7,33.3
729.52,3.52,3.47,523.4,1844.0,22.6,33.5
731.53,3.53,3.48,522.9,1844.0,22.6,33.7
733.54,3.52,3.47,522.8,1842.0,22.7,33.5
735.55,3.53,3.48,523.2,1844.0,22.6,33.5
737.55,3.53,3.48,523.1,1844.0,22.6,33.8
739.56,3.53,3.48,523.3,1844.0,22.6,33.6
741.57,3.53,3.48,522.5,1844.0,22.6,33.7
743.58,3.53,3.48,522.8,1848.0,22.6,33.5
745.59,3.53,3.48,523.3,1848.0,22.6,33.5
747.6,3.53,3.48,523.3,1844.0,22.6,33.6
749.61,3.54,3.48,523.3,1848.0,22.6,33.8
751.62,3.53,3.48,523.0,1848.0,22.6,33.6
753.63,3.54,3.48,523.3,1848.0,22.6,33.4
755.64,3.54,3.48,523.2,1852.0,22.6,33.8
757.65,3.54,3.48,523.2,1848.0,22.7,33.6
759.66,3.54,3.48,522.9,1848.0,22.6,33.7
761.67,3.54,3.49,522.8,1848.0,22.6,33.4
763.68,3.54,3.49,523.4,1852.0,22.7,33.5
765.69,3.54,3.49,523.0,1848.0,22.7,33.7
767.7,3.54,3.49,523.3,1852.0,22.6,33.7
769.71,3.54,3.49,522.6,1852.0,22.6,33.7
771.72,3.54,3.49,523.0,1852.0,22.6,33.7
773.73,3.54,3.49,522.9,1852.0,22.6,33.5
775.74,3.54,3.49,523.1,1854.0,22.6,33.7
777.75,3.54,3.49,522.5,1852.0,22.6,33.7
779.76,3.54,3.49,522.9,1854.0,22.6,33.8
781.77,3.54,3.49,523.0,1852.0,22.6,33.6
783.77,3.54,3.49,522.9,1854.0,22.6,33.6
785.78,3.54,3.49,522.8,1852.0,22.6,33.6
787.79,3.54,3.49,522.5,1854.0,22.6,33.6
789.8,3.55,3.5,522.8,1854.0,22.6,33.5
791.81,3.55,3.5,523.0,1854.0,22.6,33.3
948.56,3.6,3.54,521.7,1878.0,22.6,33.6
950.57,3.6,3.54,521.2,1874.0,22.6,33.6
952.58,3.6,3.55,521.3,1874.0,22.6,33.5
954.59,3.6,3.54,521.2,1872.0,22.6,33.4
956.59,3.6,3.55,521.3,1878.0,22.6,33.7
958.6,3.6,3.55,521.6,1880.0,22.6,34.0
960.61,3.6,3.55,521.8,1878.0,22.6,33.5
962.63,3.6,3.55,521.4,1878.0,22.6,33.6
964.64,3.6,3.55,521.6,1878.0,22.6,33.5
966.65,3.6,3.55,521.5,1878.0,22.6,33.7
968.66,3.6,3.55,521.5,1878.0,22.6,33.7
970.67,3.6,3.55,521.6,1878.0,22.6,33.3
972.68,3.61,3.56,521.6,1880.0,22.6,33.6
974.69,3.6,3.55,521.6,1880.0,22.6,33.8
976.7,3.6,3.55,521.5,1880.0,22.6,33.6
978.71,3.6,3.55,521.3,1878.0,22.6,33.6
980.72,3.61,3.56,521.3,1880.0,22.6,33.6
982.73,3.6,3.55,521.5,1880.0,22.6,33.5
984.74,3.61,3.56,521.6,1880.0,22.6,33.6
986.75,3.61,3.56,521.3,1880.0,22.6,33.6
988.76,3.6,3.55,521.4,1880.0,22.6,33.4
990.77,3.61,3.56,521.3,1880.0,22.6,33.6
992.78,3.61,3.56,521.2,1884.0,22.6,33.4
994.78,3.61,3.56,521.2,1880.0,22.6,33.6
996.79,3.61,3.56,521.5,1880.0,22.6,33.6
1024.93,3.62,3.56,519.8,1878.0,22.6,33.7
1026.94,3.62,3.56,520.6,1880.0,22.6,33.6
1028.94,3.62,3.56,520.7,1884.0,22.6,33.7
1030.95,3.62,3.57,520.9,1884.0,22.6,33.5
1032.96,3.62,3.57,521.0,1880.0,22.6,33.3
1034.97,3.62,3.56,520.2,1884.0,22.6,33.5
1036.98,3.62,3.57,521.2,1888.0,22.6,33.4
1038.99,3.62,3.57,521.2,1884.0,22.6,33.7
1041.0,3.62,3.57,521.4,1888.0,22.6,33.7
1043.01,3.62,3.57,521.3,1888.0,22.6,33.6
1045.02,3.62,3.57,520.9,1888.0,22.6,33.5
1047.03,3.62,3.57,521.3,1888.0,22.6,33.5
1049.04,3.62,3.57,521.0,1888.0,22.6,33.6
1051.05,3.62,3.57,521.1,1888.0,22.6,33.7
1053.06,3.62,3.57,521.0,1888.0,22.6,33.5
1055.07,3.62,3.57,521.2,1888.0,22.6,33.6
1057.08,3.62,3.57,520.7,1888.0,22.6,33.5
1059.09,3.62,3.57,521.1,1888.0,22.6,33.5
1061.1,3.63,3.58,521.1,1888.0,22.6,33.3
1063.11,3.62,3.57,521.1,1888.0,22.6,33.6
1065.12,3.62,3.57,521.0,1890.0,22.6,33.5
1067.13,3.63,3.58,521.2,1888.0,22.6,33.5
1069.14,3.62,3.57,521.1,1888.0,22.6,33.6
1071.15,3.63,3.58,521.0,1888.0,22.6,33.5
1073.16,3.62,3.57,521.0,1888.0,22.6,33.2
1233.92,3.65,3.6,521.0,1900.0,22.6,33.7
1235.93,3.64,3.59,519.8,1894.0,22.6,33.6
